P@5: 1.0
P@5: 0.5
CACM-3082 1.0 0.1
CACM-1811 1.0 0.2
CACM-3128 1.0 0.3
CACM-2371 1.0 0.4
CACM-3127 1.0 0.5
CACM-2912 1.0 0.6
CACM-3043 1.0 0.7
CACM-2597 1.0 0.8
CACM-1749 1.0 0.9
CACM-2931 0.9 0.9
CACM-2342 0.8181818181818182 0.9
CACM-0616 0.75 0.9
CACM-2905 0.6923076923076923 0.9
CACM-2314 0.6428571428571429 0.9
CACM-2438 0.6 0.9
CACM-2851 0.5625 0.9
CACM-1362 0.5294117647058824 0.9
CACM-3073 0.5555555555555556 1.0
CACM-2692 0.5263157894736842 1.0
CACM-1651 0.5 1.0
CACM-2929 0.47619047619047616 1.0
CACM-1727 0.45454545454545453 1.0
CACM-1470 0.43478260869565216 1.0
CACM-1705 0.4166666666666667 1.0
CACM-2922 0.4 1.0
CACM-2969 0.38461538461538464 1.0
CACM-2092 0.37037037037037035 1.0
CACM-2188 0.35714285714285715 1.0
CACM-1143 0.3448275862068966 1.0
CACM-1742 0.3333333333333333 1.0
CACM-3018 0.3225806451612903 1.0
CACM-0321 0.3125 1.0
CACM-0724 0.30303030303030304 1.0
CACM-2252 0.29411764705882354 1.0
CACM-1846 0.2857142857142857 1.0
CACM-2196 0.2777777777777778 1.0
CACM-3014 0.2702702702702703 1.0
CACM-2989 0.2631578947368421 1.0
CACM-2406 0.2564102564102564 1.0
CACM-1677 0.25 1.0
CACM-2848 0.24390243902439024 1.0
CACM-2177 0.23809523809523808 1.0
CACM-2233 0.23255813953488372 1.0
CACM-1145 0.22727272727272727 1.0
CACM-1366 0.2222222222222222 1.0
CACM-0619 0.21739130434782608 1.0
CACM-3105 0.2127659574468085 1.0
CACM-0441 0.20833333333333334 1.0
CACM-2710 0.20408163265306123 1.0
CACM-2451 0.2 1.0
CACM-2537 0.19607843137254902 1.0
CACM-2856 0.19230769230769232 1.0
CACM-1844 0.18867924528301888 1.0
CACM-1936 0.18518518518518517 1.0
CACM-2054 0.18181818181818182 1.0
CACM-2003 0.17857142857142858 1.0
CACM-3015 0.17543859649122806 1.0
CACM-2216 0.1724137931034483 1.0
CACM-3001 0.1694915254237288 1.0
CACM-2198 0.16666666666666666 1.0
CACM-3138 0.16393442622950818 1.0
CACM-2146 0.16129032258064516 1.0
CACM-2515 0.15873015873015872 1.0
CACM-2833 0.15625 1.0
CACM-1590 0.15384615384615385 1.0
CACM-1829 0.15151515151515152 1.0
CACM-1456 0.14925373134328357 1.0
CACM-0040 0.14705882352941177 1.0
CACM-1978 0.14492753623188406 1.0
CACM-1700 0.14285714285714285 1.0
CACM-1711 0.14084507042253522 1.0
CACM-2046 0.1388888888888889 1.0
CACM-2526 0.136986301369863 1.0
CACM-1699 0.13513513513513514 1.0
CACM-2620 0.13333333333333333 1.0
CACM-0675 0.13157894736842105 1.0
CACM-1962 0.12987012987012986 1.0
CACM-2247 0.1282051282051282 1.0
CACM-2033 0.12658227848101267 1.0
CACM-1534 0.125 1.0
CACM-1976 0.12345679012345678 1.0
CACM-1609 0.12195121951219512 1.0
CACM-2359 0.12048192771084337 1.0
CACM-1602 0.11904761904761904 1.0
CACM-2946 0.11764705882352941 1.0
CACM-1665 0.11627906976744186 1.0
CACM-2483 0.11494252873563218 1.0
CACM-2320 0.11363636363636363 1.0
CACM-1454 0.11235955056179775 1.0
CACM-2606 0.1111111111111111 1.0
CACM-3069 0.10989010989010989 1.0
CACM-2722 0.10869565217391304 1.0
CACM-1698 0.10752688172043011 1.0
CACM-0409 0.10638297872340426 1.0
CACM-1253 0.10526315789473684 1.0
CACM-1410 0.10416666666666667 1.0
CACM-1908 0.10309278350515463 1.0
CACM-3103 0.10204081632653061 1.0
CACM-0670 0.10101010101010101 1.0
CACM-2060 0.1 1.0
