P@5: 1.0
P@5: 1.0
CACM-2882 1.0 0.04
CACM-3087 1.0 0.08
CACM-2516 1.0 0.12
CACM-2816 1.0 0.16
CACM-2198 1.0 0.2
CACM-2718 1.0 0.24
CACM-2716 1.0 0.28
CACM-2817 1.0 0.32
CACM-2976 1.0 0.36
CACM-2406 1.0 0.4
CACM-3147 1.0 0.44
CACM-2452 1.0 0.48
CACM-2957 1.0 0.52
CACM-2526 1.0 0.56
CACM-2377 1.0 0.6
CACM-2765 1.0 0.64
CACM-2959 1.0 0.68
CACM-2715 1.0 0.72
CACM-2717 1.0 0.76
CACM-2964 1.0 0.8
CACM-2710 1.0 0.84
CACM-2046 1.0 0.88
CACM-2593 1.0 0.92
CACM-3137 1.0 0.96
CACM-3026 0.96 0.96
CACM-1844 0.9230769230769231 0.96
CACM-2424 0.8888888888888888 0.96
CACM-0695 0.8571428571428571 0.96
CACM-2342 0.8275862068965517 0.96
CACM-1572 0.8 0.96
CACM-3142 0.7741935483870968 0.96
CACM-2812 0.75 0.96
CACM-1366 0.7272727272727273 0.96
CACM-2188 0.7058823529411765 0.96
CACM-2379 0.6857142857142857 0.96
CACM-0670 0.6666666666666666 0.96
CACM-2828 0.6486486486486487 0.96
CACM-2358 0.631578947368421 0.96
CACM-2421 0.6153846153846154 0.96
CACM-2016 0.6 0.96
CACM-1750 0.5853658536585366 0.96
CACM-1711 0.5714285714285714 0.96
CACM-1962 0.5581395348837209 0.96
CACM-2247 0.5454545454545454 0.96
CACM-2147 0.5333333333333333 0.96
CACM-2002 0.5217391304347826 0.96
CACM-2470 0.5106382978723404 0.96
CACM-1261 0.5 0.96
CACM-2988 0.4897959183673469 0.96
CACM-2106 0.48 0.96
CACM-2298 0.47058823529411764 0.96
CACM-2127 0.46153846153846156 0.96
CACM-2849 0.4528301886792453 0.96
CACM-1456 0.4444444444444444 0.96
CACM-1747 0.43636363636363634 0.96
CACM-2402 0.42857142857142855 0.96
CACM-2951 0.42105263157894735 0.96
CACM-1846 0.41379310344827586 0.96
CACM-1409 0.4067796610169492 0.96
CACM-1677 0.4 0.96
CACM-1699 0.39344262295081966 0.96
CACM-3021 0.3870967741935484 0.96
CACM-3103 0.38095238095238093 0.96
CACM-3092 0.375 0.96
CACM-3136 0.36923076923076925 0.96
CACM-2852 0.36363636363636365 0.96
CACM-1518 0.3582089552238806 0.96
CACM-1774 0.35294117647058826 0.96
CACM-1805 0.34782608695652173 0.96
CACM-3112 0.34285714285714286 0.96
CACM-2846 0.3380281690140845 0.96
CACM-2138 0.3333333333333333 0.96
CACM-2486 0.3287671232876712 0.96
CACM-3049 0.32432432432432434 0.96
CACM-2625 0.32 0.96
CACM-1410 0.3157894736842105 0.96
CACM-2484 0.3116883116883117 0.96
CACM-1326 0.3076923076923077 0.96
CACM-0417 0.3037974683544304 0.96
CACM-2517 0.3 0.96
CACM-2494 0.2962962962962963 0.96
CACM-1589 0.2926829268292683 0.96
CACM-2786 0.2891566265060241 0.96
CACM-1264 0.2857142857142857 0.96
CACM-2289 0.2823529411764706 0.96
CACM-0616 0.27906976744186046 0.96
CACM-2308 0.27586206896551724 0.96
CACM-1652 0.2727272727272727 0.96
CACM-1695 0.2696629213483146 0.96
CACM-1948 0.26666666666666666 0.96
CACM-1741 0.26373626373626374 0.96
CACM-1856 0.2608695652173913 0.96
CACM-1470 0.25806451612903225 0.96
CACM-2960 0.26595744680851063 1.0
CACM-3158 0.2631578947368421 1.0
CACM-2646 0.2604166666666667 1.0
CACM-2359 0.25773195876288657 1.0
CACM-2525 0.25510204081632654 1.0
CACM-2684 0.25252525252525254 1.0
CACM-1752 0.25 1.0
