P@5: 1.0
P@5: 0.5
CACM-1795 1.0 0.1
CACM-2973 1.0 0.2
CACM-2714 1.0 0.3
CACM-2289 1.0 0.4
CACM-2266 1.0 0.5
CACM-3075 1.0 0.6
CACM-3156 1.0 0.7
CACM-2557 1.0 0.8
CACM-1601 1.0 0.9
CACM-1811 1.0 1.0
CACM-2114 0.9090909090909091 1.0
CACM-2433 0.8333333333333334 1.0
CACM-2570 0.7692307692307693 1.0
CACM-2692 0.7142857142857143 1.0
CACM-2838 0.6666666666666666 1.0
CACM-2884 0.625 1.0
CACM-2402 0.5882352941176471 1.0
CACM-2785 0.5555555555555556 1.0
CACM-2895 0.5263157894736842 1.0
CACM-3059 0.5 1.0
CACM-0320 0.47619047619047616 1.0
CACM-1411 0.45454545454545453 1.0
CACM-2135 0.43478260869565216 1.0
CACM-2263 0.4166666666666667 1.0
CACM-2366 0.4 1.0
CACM-2828 0.38461538461538464 1.0
CACM-2986 0.37037037037037035 1.0
CACM-3152 0.35714285714285715 1.0
CACM-1471 0.3448275862068966 1.0
CACM-2342 0.3333333333333333 1.0
CACM-2851 0.3225806451612903 1.0
CACM-2896 0.3125 1.0
CACM-0409 0.30303030303030304 1.0
CACM-1705 0.29411764705882354 1.0
CACM-2276 0.2857142857142857 1.0
CACM-2283 0.2777777777777778 1.0
CACM-2490 0.2702702702702703 1.0
CACM-2598 0.2631578947368421 1.0
CACM-2630 0.2564102564102564 1.0
CACM-2857 0.25 1.0
CACM-2883 0.24390243902439024 1.0
CACM-2912 0.23809523809523808 1.0
CACM-2924 0.23255813953488372 1.0
CACM-2948 0.22727272727272727 1.0
CACM-3018 0.2222222222222222 1.0
CACM-3037 0.21739130434782608 1.0
CACM-3132 0.2127659574468085 1.0
CACM-2767 0.20833333333333334 1.0
CACM-2324 0.20408163265306123 1.0
CACM-1158 0.2 1.0
CACM-1200 0.19607843137254902 1.0
CACM-1262 0.19230769230769232 1.0
CACM-1325 0.18867924528301888 1.0
CACM-1409 0.18518518518518517 1.0
CACM-1554 0.18181818181818182 1.0
CACM-1603 0.17857142857142858 1.0
CACM-1613 0.17543859649122806 1.0
CACM-1747 0.1724137931034483 1.0
CACM-1828 0.1694915254237288 1.0
CACM-1854 0.16666666666666666 1.0
CACM-1928 0.16393442622950818 1.0
CACM-1957 0.16129032258064516 1.0
CACM-1959 0.15873015873015872 1.0
CACM-2175 0.15625 1.0
CACM-2195 0.15384615384615385 1.0
CACM-2401 0.15151515151515152 1.0
CACM-2515 0.14925373134328357 1.0
CACM-2685 0.14705882352941177 1.0
CACM-2723 0.14492753623188406 1.0
CACM-2865 0.14285714285714285 1.0
CACM-3175 0.14084507042253522 1.0
CACM-0950 0.1388888888888889 1.0
CACM-1468 0.136986301369863 1.0
CACM-2700 0.13513513513513514 1.0
CACM-2740 0.13333333333333333 1.0
CACM-3073 0.13157894736842105 1.0
CACM-0321 0.12987012987012986 1.0
CACM-0717 0.1282051282051282 1.0
CACM-0719 0.12658227848101267 1.0
CACM-1145 0.125 1.0
CACM-1171 0.12345679012345678 1.0
CACM-1172 0.12195121951219512 1.0
CACM-1237 0.12048192771084337 1.0
CACM-1294 0.11904761904761904 1.0
CACM-1350 0.11764705882352941 1.0
CACM-1392 0.11627906976744186 1.0
CACM-1397 0.11494252873563218 1.0
CACM-1433 0.11363636363636363 1.0
CACM-1504 0.11235955056179775 1.0
CACM-1551 0.1111111111111111 1.0
CACM-1609 0.10989010989010989 1.0
CACM-1619 0.10869565217391304 1.0
CACM-1658 0.10752688172043011 1.0
CACM-1728 0.10638297872340426 1.0
CACM-1752 0.10526315789473684 1.0
CACM-1787 0.10416666666666667 1.0
CACM-1886 0.10309278350515463 1.0
CACM-1924 0.10204081632653061 1.0
CACM-2030 0.10101010101010101 1.0
CACM-2035 0.1 1.0
