P@5: 1.0
P@5: 0.75
CACM-3031 1.0 0.06666666666666667
CACM-2265 1.0 0.13333333333333333
CACM-2956 1.0 0.2
CACM-2940 1.0 0.26666666666666666
CACM-2958 1.0 0.3333333333333333
CACM-3103 1.0 0.4
CACM-2939 1.0 0.4666666666666667
CACM-2651 1.0 0.5333333333333333
CACM-2957 1.0 0.6
CACM-2625 1.0 0.6666666666666666
CACM-3150 1.0 0.7333333333333333
CACM-2868 1.0 0.8
CACM-2632 1.0 0.8666666666666667
CACM-2941 1.0 0.9333333333333333
CACM-2931 0.9333333333333333 0.9333333333333333
CACM-2558 0.9375 1.0
CACM-1698 0.8823529411764706 1.0
CACM-2622 0.8333333333333334 1.0
CACM-2390 0.7894736842105263 1.0
CACM-2176 0.75 1.0
CACM-2470 0.7142857142857143 1.0
CACM-3105 0.6818181818181818 1.0
CACM-1003 0.6521739130434783 1.0
CACM-1976 0.625 1.0
CACM-3069 0.6 1.0
CACM-2876 0.5769230769230769 1.0
CACM-0536 0.5555555555555556 1.0
CACM-2851 0.5357142857142857 1.0
CACM-1032 0.5172413793103449 1.0
CACM-0616 0.5 1.0
CACM-2002 0.4838709677419355 1.0
CACM-3014 0.46875 1.0
CACM-2196 0.45454545454545453 1.0
CACM-3033 0.4411764705882353 1.0
CACM-1135 0.42857142857142855 1.0
CACM-2424 0.4166666666666667 1.0
CACM-1327 0.40540540540540543 1.0
CACM-1516 0.39473684210526316 1.0
CACM-2451 0.38461538461538464 1.0
CACM-2358 0.375 1.0
CACM-2832 0.36585365853658536 1.0
CACM-2184 0.35714285714285715 1.0
CACM-2688 0.3488372093023256 1.0
CACM-2750 0.3409090909090909 1.0
CACM-2232 0.3333333333333333 1.0
CACM-1846 0.32608695652173914 1.0
CACM-2542 0.3191489361702128 1.0
CACM-1470 0.3125 1.0
CACM-2970 0.30612244897959184 1.0
CACM-0321 0.3 1.0
CACM-3177 0.29411764705882354 1.0
CACM-3077 0.28846153846153844 1.0
CACM-0670 0.2830188679245283 1.0
CACM-2912 0.2777777777777778 1.0
CACM-2499 0.2727272727272727 1.0
CACM-1456 0.26785714285714285 1.0
CACM-1323 0.2631578947368421 1.0
CACM-2905 0.25862068965517243 1.0
CACM-2342 0.2542372881355932 1.0
CACM-1856 0.25 1.0
CACM-2233 0.2459016393442623 1.0
CACM-3142 0.24193548387096775 1.0
CACM-1572 0.23809523809523808 1.0
CACM-2897 0.234375 1.0
CACM-2734 0.23076923076923078 1.0
CACM-2402 0.22727272727272727 1.0
CACM-2201 0.22388059701492538 1.0
CACM-3002 0.22058823529411764 1.0
CACM-2178 0.21739130434782608 1.0
CACM-1497 0.21428571428571427 1.0
CACM-2922 0.2112676056338028 1.0
CACM-0441 0.20833333333333334 1.0
CACM-2526 0.2054794520547945 1.0
CACM-1847 0.20270270270270271 1.0
CACM-2376 0.2 1.0
CACM-0497 0.19736842105263158 1.0
CACM-2092 0.19480519480519481 1.0
CACM-2949 0.19230769230769232 1.0
CACM-2314 0.189873417721519 1.0
CACM-1806 0.1875 1.0
CACM-2145 0.18518518518518517 1.0
CACM-1381 0.18292682926829268 1.0
CACM-1727 0.18072289156626506 1.0
CACM-2035 0.17857142857142858 1.0
CACM-1425 0.17647058823529413 1.0
CACM-2582 0.1744186046511628 1.0
CACM-2794 0.1724137931034483 1.0
CACM-2160 0.17045454545454544 1.0
CACM-2624 0.16853932584269662 1.0
CACM-2421 0.16666666666666666 1.0
CACM-2344 0.16483516483516483 1.0
CACM-1768 0.16304347826086957 1.0
CACM-3112 0.16129032258064516 1.0
CACM-2846 0.1595744680851064 1.0
CACM-1170 0.15789473684210525 1.0
CACM-1362 0.15625 1.0
CACM-2247 0.15463917525773196 1.0
CACM-2033 0.15306122448979592 1.0
CACM-0675 0.15151515151515152 1.0
CACM-3032 0.15 1.0
