P@5: 1.0
P@5: 0.65
CACM-2462 1.0 0.07692307692307693
CACM-2089 1.0 0.15384615384615385
CACM-1840 1.0 0.23076923076923078
CACM-1539 1.0 0.3076923076923077
CACM-1538 1.0 0.38461538461538464
CACM-1094 1.0 0.46153846153846156
CACM-3037 1.0 0.5384615384615384
CACM-1537 1.0 0.6153846153846154
CACM-1420 1.0 0.6923076923076923
CACM-1841 1.0 0.7692307692307693
CACM-2927 1.0 0.8461538461538461
CACM-1967 1.0 0.9230769230769231
CACM-2932 1.0 1.0
CACM-2276 0.9285714285714286 1.0
CACM-1874 0.8666666666666667 1.0
CACM-3021 0.8125 1.0
CACM-2289 0.7647058823529411 1.0
CACM-2402 0.7222222222222222 1.0
CACM-2200 0.6842105263157895 1.0
CACM-2606 0.65 1.0
CACM-1679 0.6190476190476191 1.0
CACM-1710 0.5909090909090909 1.0
CACM-1879 0.5652173913043478 1.0
CACM-2555 0.5416666666666666 1.0
CACM-2229 0.52 1.0
CACM-0942 0.5 1.0
CACM-2114 0.48148148148148145 1.0
CACM-1691 0.4642857142857143 1.0
CACM-1933 0.4482758620689655 1.0
CACM-2109 0.43333333333333335 1.0
CACM-2726 0.41935483870967744 1.0
CACM-0944 0.40625 1.0
CACM-1171 0.3939393939393939 1.0
CACM-1433 0.38235294117647056 1.0
CACM-1504 0.37142857142857144 1.0
CACM-1609 0.3611111111111111 1.0
CACM-1728 0.35135135135135137 1.0
CACM-1787 0.34210526315789475 1.0
CACM-1810 0.3333333333333333 1.0
CACM-1886 0.325 1.0
CACM-1924 0.3170731707317073 1.0
CACM-2111 0.30952380952380953 1.0
CACM-2142 0.3023255813953488 1.0
CACM-2146 0.29545454545454547 1.0
CACM-2267 0.28888888888888886 1.0
CACM-2283 0.2826086956521739 1.0
CACM-2314 0.2765957446808511 1.0
CACM-2325 0.2708333333333333 1.0
CACM-2490 0.2653061224489796 1.0
CACM-2524 0.26 1.0
CACM-2837 0.2549019607843137 1.0
CACM-2860 0.25 1.0
CACM-2924 0.24528301886792453 1.0
CACM-2948 0.24074074074074073 1.0
CACM-3018 0.23636363636363636 1.0
CACM-3118 0.23214285714285715 1.0
CACM-3134 0.22807017543859648 1.0
CACM-3141 0.22413793103448276 1.0
CACM-3152 0.22033898305084745 1.0
CACM-3163 0.21666666666666667 1.0
CACM-3164 0.21311475409836064 1.0
CACM-2561 0.20967741935483872 1.0
CACM-2232 0.20634920634920634 1.0
CACM-2657 0.203125 1.0
CACM-2605 0.2 1.0
CACM-2031 0.19696969696969696 1.0
CACM-2138 0.19402985074626866 1.0
CACM-1497 0.19117647058823528 1.0
CACM-2767 0.18840579710144928 1.0
CACM-1099 0.18571428571428572 1.0
CACM-1862 0.18309859154929578 1.0
CACM-3131 0.18055555555555555 1.0
CACM-2644 0.1780821917808219 1.0
CACM-2167 0.17567567567567569 1.0
CACM-0096 0.17333333333333334 1.0
CACM-0675 0.17105263157894737 1.0
CACM-0893 0.16883116883116883 1.0
CACM-0974 0.16666666666666666 1.0
CACM-1029 0.16455696202531644 1.0
CACM-1109 0.1625 1.0
CACM-1134 0.16049382716049382 1.0
CACM-1161 0.15853658536585366 1.0
CACM-1163 0.1566265060240964 1.0
CACM-1195 0.15476190476190477 1.0
CACM-1365 0.15294117647058825 1.0
CACM-1366 0.1511627906976744 1.0
CACM-1388 0.14942528735632185 1.0
CACM-1390 0.14772727272727273 1.0
CACM-1474 0.14606741573033707 1.0
CACM-1495 0.14444444444444443 1.0
CACM-1511 0.14285714285714285 1.0
CACM-1637 0.14130434782608695 1.0
CACM-1848 0.13978494623655913 1.0
CACM-2083 0.13829787234042554 1.0
CACM-2149 0.1368421052631579 1.0
CACM-2166 0.13541666666666666 1.0
CACM-2181 0.13402061855670103 1.0
CACM-2734 0.1326530612244898 1.0
CACM-2825 0.13131313131313133 1.0
CACM-2961 0.13 1.0
