P@5: 0.8
P@5: 0.25
CACM-1605 1.0 0.2
CACM-1410 1.0 0.4
CACM-2054 0.6666666666666666 0.4
CACM-1572 0.75 0.6
CACM-2358 0.8 0.8
CACM-1506 0.6666666666666666 0.8
CACM-0637 0.5714285714285714 0.8
CACM-1225 0.5 0.8
CACM-1591 0.4444444444444444 0.8
CACM-0585 0.4 0.8
CACM-1862 0.36363636363636365 0.8
CACM-2020 0.4166666666666667 1.0
CACM-1113 0.38461538461538464 1.0
CACM-1033 0.35714285714285715 1.0
CACM-1393 0.3333333333333333 1.0
CACM-1885 0.3125 1.0
CACM-2017 0.29411764705882354 1.0
CACM-1161 0.2777777777777778 1.0
CACM-1544 0.2631578947368421 1.0
CACM-2947 0.25 1.0
CACM-2390 0.23809523809523808 1.0
CACM-2764 0.22727272727272727 1.0
CACM-2632 0.21739130434782608 1.0
CACM-2946 0.20833333333333334 1.0
CACM-0972 0.2 1.0
CACM-1626 0.19230769230769232 1.0
CACM-1699 0.18518518518518517 1.0
CACM-1811 0.17857142857142858 1.0
CACM-1827 0.1724137931034483 1.0
CACM-1962 0.16666666666666666 1.0
CACM-2288 0.16129032258064516 1.0
CACM-2767 0.15625 1.0
CACM-2838 0.15151515151515152 1.0
CACM-1938 0.14705882352941177 1.0
CACM-1264 0.14285714285714285 1.0
CACM-2297 0.1388888888888889 1.0
CACM-2950 0.13513513513513514 1.0
CACM-1487 0.13157894736842105 1.0
CACM-2003 0.1282051282051282 1.0
CACM-2342 0.125 1.0
CACM-2365 0.12195121951219512 1.0
CACM-2378 0.11904761904761904 1.0
CACM-2541 0.11627906976744186 1.0
CACM-2424 0.11363636363636363 1.0
CACM-1408 0.1111111111111111 1.0
CACM-2379 0.10869565217391304 1.0
CACM-1805 0.10638297872340426 1.0
CACM-2319 0.10416666666666667 1.0
CACM-2308 0.10204081632653061 1.0
CACM-1179 0.1 1.0
CACM-1854 0.09803921568627451 1.0
CACM-1394 0.09615384615384616 1.0
CACM-1542 0.09433962264150944 1.0
CACM-0695 0.09259259259259259 1.0
CACM-1939 0.09090909090909091 1.0
CACM-1676 0.08928571428571429 1.0
CACM-2402 0.08771929824561403 1.0
CACM-1543 0.08620689655172414 1.0
CACM-1366 0.0847457627118644 1.0
CACM-1680 0.08333333333333333 1.0
CACM-1747 0.08196721311475409 1.0
CACM-1526 0.08064516129032258 1.0
CACM-0040 0.07936507936507936 1.0
CACM-0282 0.078125 1.0
CACM-2188 0.07692307692307693 1.0
CACM-2245 0.07575757575757576 1.0
CACM-2567 0.07462686567164178 1.0
CACM-2722 0.07352941176470588 1.0
CACM-2749 0.07246376811594203 1.0
CACM-3103 0.07142857142857142 1.0
CACM-3153 0.07042253521126761 1.0
CACM-1523 0.06944444444444445 1.0
CACM-0202 0.0684931506849315 1.0
CACM-1032 0.06756756756756757 1.0
CACM-1066 0.06666666666666667 1.0
CACM-1160 0.06578947368421052 1.0
CACM-1255 0.06493506493506493 1.0
CACM-1365 0.0641025641025641 1.0
CACM-1516 0.06329113924050633 1.0
CACM-1589 0.0625 1.0
CACM-1665 0.06172839506172839 1.0
CACM-1824 0.06097560975609756 1.0
CACM-1829 0.060240963855421686 1.0
CACM-1846 0.05952380952380952 1.0
CACM-1959 0.058823529411764705 1.0
CACM-1989 0.05813953488372093 1.0
CACM-2035 0.05747126436781609 1.0
CACM-2065 0.056818181818181816 1.0
CACM-2113 0.056179775280898875 1.0
CACM-2153 0.05555555555555555 1.0
CACM-2201 0.054945054945054944 1.0
CACM-2470 0.05434782608695652 1.0
CACM-2497 0.053763440860215055 1.0
CACM-2501 0.05319148936170213 1.0
CACM-2560 0.05263157894736842 1.0
CACM-2667 0.052083333333333336 1.0
CACM-2669 0.05154639175257732 1.0
CACM-3015 0.05102040816326531 1.0
CACM-3087 0.050505050505050504 1.0
CACM-3134 0.05 1.0
