P@5: 1.0
P@5: 0.4
CACM-2316 1.0 0.07692307692307693
CACM-2527 1.0 0.15384615384615385
CACM-2906 1.0 0.23076923076923078
CACM-1923 1.0 0.3076923076923077
CACM-2699 1.0 0.38461538461538464
CACM-2246 1.0 0.46153846153846156
CACM-3150 1.0 0.5384615384615384
CACM-2716 1.0 0.6153846153846154
CACM-2717 0.8888888888888888 0.6153846153846154
CACM-2091 0.8 0.6153846153846154
CACM-0724 0.7272727272727273 0.6153846153846154
CACM-2003 0.6666666666666666 0.6153846153846154
CACM-2198 0.6153846153846154 0.6153846153846154
CACM-3077 0.5714285714285714 0.6153846153846154
CACM-3148 0.5333333333333333 0.6153846153846154
CACM-3171 0.5 0.6153846153846154
CACM-1676 0.47058823529411764 0.6153846153846154
CACM-1860 0.4444444444444444 0.6153846153846154
CACM-2081 0.42105263157894735 0.6153846153846154
CACM-2320 0.4 0.6153846153846154
CACM-2542 0.38095238095238093 0.6153846153846154
CACM-2593 0.36363636363636365 0.6153846153846154
CACM-2787 0.34782608695652173 0.6153846153846154
CACM-2826 0.3333333333333333 0.6153846153846154
CACM-2898 0.32 0.6153846153846154
CACM-3080 0.3076923076923077 0.6153846153846154
CACM-1627 0.2962962962962963 0.6153846153846154
CACM-0048 0.2857142857142857 0.6153846153846154
CACM-0281 0.27586206896551724 0.6153846153846154
CACM-1179 0.26666666666666666 0.6153846153846154
CACM-1872 0.25806451612903225 0.6153846153846154
CACM-1903 0.25 0.6153846153846154
CACM-3041 0.24242424242424243 0.6153846153846154
CACM-1306 0.2647058823529412 0.6923076923076923
CACM-0265 0.2571428571428571 0.6923076923076923
CACM-0731 0.25 0.6923076923076923
CACM-1861 0.24324324324324326 0.6923076923076923
CACM-2002 0.23684210526315788 0.6923076923076923
CACM-2034 0.23076923076923078 0.6923076923076923
CACM-2398 0.225 0.6923076923076923
CACM-1835 0.21951219512195122 0.6923076923076923
CACM-2705 0.21428571428571427 0.6923076923076923
CACM-0321 0.20930232558139536 0.6923076923076923
CACM-2317 0.20454545454545456 0.6923076923076923
CACM-2651 0.2 0.6923076923076923
CACM-2873 0.1956521739130435 0.6923076923076923
CACM-2923 0.2127659574468085 0.7692307692307693
CACM-2710 0.22916666666666666 0.8461538461538461
CACM-1188 0.24489795918367346 0.9230769230769231
CACM-3073 0.26 1.0
CACM-0252 0.2549019607843137 1.0
CACM-0479 0.25 1.0
CACM-0616 0.24528301886792453 1.0
CACM-1425 0.24074074074074073 1.0
CACM-1462 0.23636363636363636 1.0
CACM-1542 0.23214285714285715 1.0
CACM-1552 0.22807017543859648 1.0
CACM-1553 0.22413793103448276 1.0
CACM-1590 0.22033898305084745 1.0
CACM-1625 0.21666666666666667 1.0
CACM-1642 0.21311475409836064 1.0
CACM-1720 0.20967741935483872 1.0
CACM-1788 0.20634920634920634 1.0
CACM-1871 0.203125 1.0
CACM-1908 0.2 1.0
CACM-1936 0.19696969696969696 1.0
CACM-2106 0.19402985074626866 1.0
CACM-2137 0.19117647058823528 1.0
CACM-2208 0.18840579710144928 1.0
CACM-2219 0.18571428571428572 1.0
CACM-2245 0.18309859154929578 1.0
CACM-2345 0.18055555555555555 1.0
CACM-2483 0.1780821917808219 1.0
CACM-2765 0.17567567567567569 1.0
CACM-2892 0.17333333333333334 1.0
CACM-2893 0.17105263157894737 1.0
CACM-2897 0.16883116883116883 1.0
CACM-2922 0.16666666666666666 1.0
CACM-2968 0.16455696202531644 1.0
CACM-2972 0.1625 1.0
CACM-3040 0.16049382716049382 1.0
CACM-3057 0.15853658536585366 1.0
CACM-3058 0.1566265060240964 1.0
CACM-3101 0.15476190476190477 1.0
CACM-3119 0.15294117647058825 1.0
CACM-3123 0.1511627906976744 1.0
CACM-3130 0.14942528735632185 1.0
CACM-0111 0.14772727272727273 1.0
CACM-0367 0.14606741573033707 1.0
CACM-0755 0.14444444444444443 1.0
CACM-1032 0.14285714285714285 1.0
CACM-1113 0.14130434782608695 1.0
CACM-1223 0.13978494623655913 1.0
CACM-1472 0.13829787234042554 1.0
CACM-1613 0.1368421052631579 1.0
CACM-1693 0.13541666666666666 1.0
CACM-1844 0.13402061855670103 1.0
CACM-1930 0.1326530612244898 1.0
CACM-1962 0.13131313131313133 1.0
CACM-2354 0.13 1.0
