P@5: 1.0
P@5: 0.75
CACM-1539 1.0 0.06666666666666667
CACM-1537 1.0 0.13333333333333333
CACM-1841 1.0 0.2
CACM-1538 1.0 0.26666666666666666
CACM-1840 1.0 0.3333333333333333
CACM-2462 1.0 0.4
CACM-1094 1.0 0.4666666666666667
CACM-2089 1.0 0.5333333333333333
CACM-2028 1.0 0.6
CACM-2120 1.0 0.6666666666666666
CACM-1967 1.0 0.7333333333333333
CACM-1420 1.0 0.8
CACM-3037 1.0 0.8666666666666667
CACM-2927 1.0 0.9333333333333333
CACM-2932 1.0 1.0
CACM-1874 0.9375 1.0
CACM-1691 0.8823529411764706 1.0
CACM-2276 0.8333333333333334 1.0
CACM-3021 0.7894736842105263 1.0
CACM-2289 0.75 1.0
CACM-1933 0.7142857142857143 1.0
CACM-1293 0.6818181818181818 1.0
CACM-1631 0.6521739130434783 1.0
CACM-1930 0.625 1.0
CACM-1679 0.6 1.0
CACM-1710 0.5769230769230769 1.0
CACM-1879 0.5555555555555556 1.0
CACM-0942 0.5357142857142857 1.0
CACM-2114 0.5172413793103449 1.0
CACM-2109 0.5 1.0
CACM-2726 0.4838709677419355 1.0
CACM-0944 0.46875 1.0
CACM-1171 0.45454545454545453 1.0
CACM-1728 0.4411764705882353 1.0
CACM-1787 0.42857142857142855 1.0
CACM-1810 0.4166666666666667 1.0
CACM-1924 0.40540540540540543 1.0
CACM-2111 0.39473684210526316 1.0
CACM-2267 0.38461538461538464 1.0
CACM-2314 0.375 1.0
CACM-2524 0.36585365853658536 1.0
CACM-2657 0.35714285714285715 1.0
CACM-2031 0.3488372093023256 1.0
CACM-2138 0.3409090909090909 1.0
CACM-1497 0.3333333333333333 1.0
CACM-2767 0.32608695652173914 1.0
CACM-1099 0.3191489361702128 1.0
CACM-2167 0.3125 1.0
CACM-2402 0.30612244897959184 1.0
CACM-2200 0.3 1.0
CACM-1939 0.29411764705882354 1.0
CACM-0893 0.28846153846153844 1.0
CACM-1029 0.2830188679245283 1.0
CACM-1134 0.2777777777777778 1.0
CACM-1161 0.2727272727272727 1.0
CACM-1163 0.26785714285714285 1.0
CACM-1195 0.2631578947368421 1.0
CACM-1365 0.25862068965517243 1.0
CACM-1366 0.2542372881355932 1.0
CACM-1388 0.25 1.0
CACM-1474 0.2459016393442623 1.0
CACM-1495 0.24193548387096775 1.0
CACM-1511 0.23809523809523808 1.0
CACM-2166 0.234375 1.0
CACM-2181 0.23076923076923078 1.0
CACM-2734 0.22727272727272727 1.0
CACM-1663 0.22388059701492538 1.0
CACM-1716 0.22058823529411764 1.0
CACM-1794 0.21739130434782608 1.0
CACM-1894 0.21428571428571427 1.0
CACM-2687 0.2112676056338028 1.0
CACM-0298 0.20833333333333334 1.0
CACM-2196 0.2054794520547945 1.0
CACM-2249 0.20270270270270271 1.0
CACM-2606 0.2 1.0
CACM-1957 0.19736842105263158 1.0
CACM-2555 0.19480519480519481 1.0
CACM-2229 0.19230769230769232 1.0
CACM-1697 0.189873417721519 1.0
CACM-1386 0.1875 1.0
CACM-1854 0.18518518518518517 1.0
CACM-2018 0.18292682926829268 1.0
CACM-2770 0.18072289156626506 1.0
CACM-0321 0.17857142857142858 1.0
CACM-0409 0.17647058823529413 1.0
CACM-1145 0.1744186046511628 1.0
CACM-1172 0.1724137931034483 1.0
CACM-1237 0.17045454545454544 1.0
CACM-1350 0.16853932584269662 1.0
CACM-1392 0.16666666666666666 1.0
CACM-1397 0.16483516483516483 1.0
CACM-1411 0.16304347826086957 1.0
CACM-1551 0.16129032258064516 1.0
CACM-1658 0.1595744680851064 1.0
CACM-1752 0.15789473684210525 1.0
CACM-1877 0.15625 1.0
CACM-2035 0.15463917525773196 1.0
CACM-2053 0.15306122448979592 1.0
CACM-2092 0.15151515151515152 1.0
CACM-2094 0.15 1.0
