P@5: 1.0
P@5: 0.75
CACM-2084 1.0 0.06666666666666667
CACM-2836 1.0 0.13333333333333333
CACM-2110 1.0 0.2
CACM-1350 1.0 0.26666666666666666
CACM-1768 1.0 0.3333333333333333
CACM-2015 1.0 0.4
CACM-1825 1.0 0.4666666666666667
CACM-3094 1.0 0.5333333333333333
CACM-1265 1.0 0.6
CACM-2733 1.0 0.6666666666666666
CACM-2702 1.0 0.7333333333333333
CACM-2423 1.0 0.8
CACM-2340 1.0 0.8666666666666667
CACM-2794 0.9285714285714286 0.8666666666666667
CACM-1683 0.9333333333333333 0.9333333333333333
CACM-2030 0.875 0.9333333333333333
CACM-1012 0.8235294117647058 0.9333333333333333
CACM-2061 0.7777777777777778 0.9333333333333333
CACM-2986 0.7894736842105263 1.0
CACM-0185 0.75 1.0
CACM-1433 0.7142857142857143 1.0
CACM-2828 0.6818181818181818 1.0
CACM-2925 0.6521739130434783 1.0
CACM-3132 0.625 1.0
CACM-3135 0.6 1.0
CACM-1145 0.5769230769230769 1.0
CACM-1455 0.5555555555555556 1.0
CACM-3100 0.5357142857142857 1.0
CACM-2698 0.5172413793103449 1.0
CACM-1612 0.5 1.0
CACM-2301 0.4838709677419355 1.0
CACM-2886 0.46875 1.0
CACM-1453 0.45454545454545453 1.0
CACM-2546 0.4411764705882353 1.0
CACM-2703 0.42857142857142855 1.0
CACM-2754 0.4166666666666667 1.0
CACM-1665 0.40540540540540543 1.0
CACM-1525 0.39473684210526316 1.0
CACM-1668 0.38461538461538464 1.0
CACM-1669 0.375 1.0
CACM-1679 0.36585365853658536 1.0
CACM-1847 0.35714285714285715 1.0
CACM-1910 0.3488372093023256 1.0
CACM-1917 0.3409090909090909 1.0
CACM-2208 0.3333333333333333 1.0
CACM-2355 0.32608695652173914 1.0
CACM-2701 0.3191489361702128 1.0
CACM-2880 0.3125 1.0
CACM-2916 0.30612244897959184 1.0
CACM-2963 0.3 1.0
CACM-2987 0.29411764705882354 1.0
CACM-3075 0.28846153846153844 1.0
CACM-3079 0.2830188679245283 1.0
CACM-3106 0.2777777777777778 1.0
CACM-1915 0.2727272727272727 1.0
CACM-2287 0.26785714285714285 1.0
CACM-3165 0.2631578947368421 1.0
CACM-0717 0.25862068965517243 1.0
CACM-1169 0.2542372881355932 1.0
CACM-1172 0.25 1.0
CACM-1197 0.2459016393442623 1.0
CACM-1235 0.24193548387096775 1.0
CACM-1326 0.23809523809523808 1.0
CACM-1434 0.234375 1.0
CACM-1504 0.23076923076923078 1.0
CACM-1594 0.22727272727272727 1.0
CACM-1705 0.22388059701492538 1.0
CACM-1886 0.22058823529411764 1.0
CACM-1930 0.21739130434782608 1.0
CACM-1972 0.21428571428571427 1.0
CACM-1975 0.2112676056338028 1.0
CACM-2047 0.20833333333333334 1.0
CACM-2076 0.2054794520547945 1.0
CACM-2177 0.20270270270270271 1.0
CACM-2194 0.2 1.0
CACM-2273 0.19736842105263158 1.0
CACM-2368 0.19480519480519481 1.0
CACM-2451 0.19230769230769232 1.0
CACM-2484 0.189873417721519 1.0
CACM-2537 0.1875 1.0
CACM-2665 0.18518518518518517 1.0
CACM-2722 0.18292682926829268 1.0
CACM-2766 0.18072289156626506 1.0
CACM-2835 0.17857142857142858 1.0
CACM-2969 0.17647058823529413 1.0
CACM-2994 0.1744186046511628 1.0
CACM-3040 0.1724137931034483 1.0
CACM-3057 0.17045454545454544 1.0
CACM-3065 0.16853932584269662 1.0
CACM-3085 0.16666666666666666 1.0
CACM-3113 0.16483516483516483 1.0
CACM-3138 0.16304347826086957 1.0
CACM-3141 0.16129032258064516 1.0
CACM-2112 0.1595744680851064 1.0
CACM-1395 0.15789473684210525 1.0
CACM-1549 0.15625 1.0
CACM-1564 0.15463917525773196 1.0
CACM-1622 0.15306122448979592 1.0
CACM-1852 0.15151515151515152 1.0
CACM-1885 0.15 1.0
