P@5: 0.4
P@5: 0.1
CACM-3139 1.0 0.5
CACM-1145 1.0 1.0
CACM-2883 0.6666666666666666 1.0
CACM-2177 0.5 1.0
CACM-2289 0.4 1.0
CACM-2484 0.3333333333333333 1.0
CACM-3164 0.2857142857142857 1.0
CACM-1504 0.25 1.0
CACM-3018 0.2222222222222222 1.0
CACM-2923 0.2 1.0
CACM-2368 0.18181818181818182 1.0
CACM-2986 0.16666666666666666 1.0
CACM-2697 0.15384615384615385 1.0
CACM-1433 0.14285714285714285 1.0
CACM-3138 0.13333333333333333 1.0
CACM-3040 0.125 1.0
CACM-1727 0.11764705882352941 1.0
CACM-3156 0.1111111111111111 1.0
CACM-2619 0.10526315789473684 1.0
CACM-2195 0.1 1.0
CACM-1847 0.09523809523809523 1.0
CACM-2178 0.09090909090909091 1.0
CACM-2630 0.08695652173913043 1.0
CACM-1456 0.08333333333333333 1.0
CACM-2925 0.08 1.0
CACM-2766 0.07692307692307693 1.0
CACM-2980 0.07407407407407407 1.0
CACM-2856 0.07142857142857142 1.0
CACM-2692 0.06896551724137931 1.0
CACM-1066 0.06666666666666667 1.0
CACM-2125 0.06451612903225806 1.0
CACM-1172 0.0625 1.0
CACM-2490 0.06060606060606061 1.0
CACM-2402 0.058823529411764705 1.0
CACM-1934 0.05714285714285714 1.0
CACM-2701 0.05555555555555555 1.0
CACM-1698 0.05405405405405406 1.0
CACM-1721 0.05263157894736842 1.0
CACM-2606 0.05128205128205128 1.0
CACM-2877 0.05 1.0
CACM-2433 0.04878048780487805 1.0
CACM-2931 0.047619047619047616 1.0
CACM-2401 0.046511627906976744 1.0
CACM-2688 0.045454545454545456 1.0
CACM-2924 0.044444444444444446 1.0
CACM-2695 0.043478260869565216 1.0
CACM-1415 0.0425531914893617 1.0
CACM-0321 0.041666666666666664 1.0
CACM-2094 0.04081632653061224 1.0
CACM-2522 0.04 1.0
CACM-2832 0.0392156862745098 1.0
CACM-2188 0.038461538461538464 1.0
CACM-2060 0.03773584905660377 1.0
CACM-2771 0.037037037037037035 1.0
CACM-2828 0.03636363636363636 1.0
CACM-2767 0.03571428571428571 1.0
CACM-2722 0.03508771929824561 1.0
CACM-0616 0.034482758620689655 1.0
CACM-2646 0.03389830508474576 1.0
CACM-1350 0.03333333333333333 1.0
CACM-3100 0.03278688524590164 1.0
CACM-2786 0.03225806451612903 1.0
CACM-3008 0.031746031746031744 1.0
CACM-2015 0.03125 1.0
CACM-2769 0.03076923076923077 1.0
CACM-2819 0.030303030303030304 1.0
CACM-2389 0.029850746268656716 1.0
CACM-1197 0.029411764705882353 1.0
CACM-1664 0.028985507246376812 1.0
CACM-1411 0.02857142857142857 1.0
CACM-0497 0.028169014084507043 1.0
CACM-2266 0.027777777777777776 1.0
CACM-2273 0.0273972602739726 1.0
CACM-1825 0.02702702702702703 1.0
CACM-2450 0.02666666666666667 1.0
CACM-3157 0.02631578947368421 1.0
CACM-1705 0.025974025974025976 1.0
CACM-2155 0.02564102564102564 1.0
CACM-3014 0.02531645569620253 1.0
CACM-2176 0.025 1.0
CACM-3032 0.024691358024691357 1.0
CACM-1326 0.024390243902439025 1.0
CACM-3134 0.024096385542168676 1.0
CACM-2232 0.023809523809523808 1.0
CACM-2499 0.023529411764705882 1.0
CACM-2535 0.023255813953488372 1.0
CACM-2674 0.022988505747126436 1.0
CACM-2973 0.022727272727272728 1.0
CACM-1976 0.02247191011235955 1.0
CACM-1846 0.022222222222222223 1.0
CACM-1003 0.02197802197802198 1.0
CACM-2252 0.021739130434782608 1.0
CACM-2053 0.021505376344086023 1.0
CACM-2200 0.02127659574468085 1.0
CACM-2146 0.021052631578947368 1.0
CACM-2794 0.020833333333333332 1.0
CACM-1725 0.020618556701030927 1.0
CACM-1886 0.02040816326530612 1.0
CACM-1543 0.020202020202020204 1.0
CACM-3015 0.02 1.0
