P@5: 1.0
P@5: 0.25
CACM-1795 1.0 0.14285714285714285
CACM-2495 1.0 0.2857142857142857
CACM-2897 1.0 0.42857142857142855
CACM-1551 1.0 0.5714285714285714
CACM-1947 1.0 0.7142857142857143
CACM-1886 0.8333333333333334 0.7142857142857143
CACM-2559 0.7142857142857143 0.7142857142857143
CACM-1564 0.625 0.7142857142857143
CACM-2253 0.5555555555555556 0.7142857142857143
CACM-2423 0.5 0.7142857142857143
CACM-2858 0.45454545454545453 0.7142857142857143
CACM-2904 0.4166666666666667 0.7142857142857143
CACM-2929 0.38461538461538464 0.7142857142857143
CACM-3080 0.35714285714285715 0.7142857142857143
CACM-1195 0.3333333333333333 0.7142857142857143
CACM-2537 0.3125 0.7142857142857143
CACM-2680 0.29411764705882354 0.7142857142857143
CACM-2716 0.2777777777777778 0.7142857142857143
CACM-2722 0.2631578947368421 0.7142857142857143
CACM-1235 0.25 0.7142857142857143
CACM-1542 0.23809523809523808 0.7142857142857143
CACM-2748 0.22727272727272727 0.7142857142857143
CACM-3005 0.21739130434782608 0.7142857142857143
CACM-3171 0.20833333333333334 0.7142857142857143
CACM-1651 0.2 0.7142857142857143
CACM-2033 0.19230769230769232 0.7142857142857143
CACM-2374 0.18518518518518517 0.7142857142857143
CACM-2856 0.17857142857142858 0.7142857142857143
CACM-1807 0.20689655172413793 0.8571428571428571
CACM-2579 0.23333333333333334 1.0
CACM-0693 0.22580645161290322 1.0
CACM-1410 0.21875 1.0
CACM-1658 0.21212121212121213 1.0
CACM-1676 0.20588235294117646 1.0
CACM-1719 0.2 1.0
CACM-1951 0.19444444444444445 1.0
CACM-2000 0.1891891891891892 1.0
CACM-2133 0.18421052631578946 1.0
CACM-2134 0.1794871794871795 1.0
CACM-2188 0.175 1.0
CACM-2195 0.17073170731707318 1.0
CACM-2314 0.16666666666666666 1.0
CACM-2321 0.16279069767441862 1.0
CACM-2344 0.1590909090909091 1.0
CACM-2433 0.15555555555555556 1.0
CACM-2451 0.15217391304347827 1.0
CACM-2464 0.14893617021276595 1.0
CACM-2570 0.14583333333333334 1.0
CACM-2611 0.14285714285714285 1.0
CACM-2699 0.14 1.0
CACM-2715 0.13725490196078433 1.0
CACM-2812 0.1346153846153846 1.0
CACM-2835 0.1320754716981132 1.0
CACM-2883 0.12962962962962962 1.0
CACM-2923 0.12727272727272726 1.0
CACM-2969 0.125 1.0
CACM-3002 0.12280701754385964 1.0
CACM-3018 0.1206896551724138 1.0
CACM-3053 0.11864406779661017 1.0
CACM-3054 0.11666666666666667 1.0
CACM-0048 0.11475409836065574 1.0
CACM-0066 0.11290322580645161 1.0
CACM-0123 0.1111111111111111 1.0
CACM-0124 0.109375 1.0
CACM-0144 0.1076923076923077 1.0
CACM-0230 0.10606060606060606 1.0
CACM-0243 0.1044776119402985 1.0
CACM-0797 0.10294117647058823 1.0
CACM-1064 0.10144927536231885 1.0
CACM-1066 0.1 1.0
CACM-1088 0.09859154929577464 1.0
CACM-1165 0.09722222222222222 1.0
CACM-1204 0.0958904109589041 1.0
CACM-1234 0.0945945945945946 1.0
CACM-1275 0.09333333333333334 1.0
CACM-1289 0.09210526315789473 1.0
CACM-1290 0.09090909090909091 1.0
CACM-1331 0.08974358974358974 1.0
CACM-1345 0.08860759493670886 1.0
CACM-1362 0.0875 1.0
CACM-1389 0.08641975308641975 1.0
CACM-1390 0.08536585365853659 1.0
CACM-1414 0.08433734939759036 1.0
CACM-1476 0.08333333333333333 1.0
CACM-1523 0.08235294117647059 1.0
CACM-1613 0.08139534883720931 1.0
CACM-1652 0.08045977011494253 1.0
CACM-1655 0.07954545454545454 1.0
CACM-1665 0.07865168539325842 1.0
CACM-1726 0.07777777777777778 1.0
CACM-1757 0.07692307692307693 1.0
CACM-1770 0.07608695652173914 1.0
CACM-1786 0.07526881720430108 1.0
CACM-1824 0.07446808510638298 1.0
CACM-1922 0.07368421052631578 1.0
CACM-1992 0.07291666666666667 1.0
CACM-2018 0.07216494845360824 1.0
CACM-2064 0.07142857142857142 1.0
CACM-2138 0.0707070707070707 1.0
CACM-2233 0.07 1.0
